size,keywords,coping_patterns,stigma_indicators,emotional_language,cluster_id
55,"[{'keyword': 'manage tinnitus', 'score': 0.7173}, {'keyword': 'reduction ringing', 'score': 0.4476}, {'keyword': 'hearing hope', 'score': 0.3016}, {'keyword': 'bereavement anxiety', 'score': 0.2643}, {'keyword': 'catastrophise experience', 'score': 0.2627}, {'keyword': 'cure xanax', 'score': 0.2555}, {'keyword': 'wax removal', 'score': 0.2539}, {'keyword': 'symptoms disappear', 'score': 0.2413}, {'keyword': 'chronic pain', 'score': 0.2402}, {'keyword': 'counsel change', 'score': 0.1665}]","{'help_seeking': {'count': 4, 'frequency': 0.07272727272727272}, 'self_care': {'count': 2, 'frequency': 0.03636363636363636}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 3, 'frequency': 0.05454545454545454}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 4, 'frequency': 0.07272727272727272}, 'dismissal': {'count': 2, 'frequency': 0.03636363636363636}, 'normalization': {'count': 2, 'frequency': 0.03636363636363636}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 2, 'frequency': 0.03636363636363636}, 'negative': {'count': 1, 'frequency': 0.01818181818181818}, 'anxiety': {'count': 4, 'frequency': 0.07272727272727272}, 'depression': {'count': 1, 'frequency': 0.01818181818181818}}",10
55,"[{'keyword': 'ketamine therapy', 'score': 0.6778}, {'keyword': 'pushing xanax', 'score': 0.4948}, {'keyword': 'depression drug', 'score': 0.4646}, {'keyword': 'help suicidal', 'score': 0.3999}, {'keyword': 'treatment cost', 'score': 0.3286}, {'keyword': 'medicate bad', 'score': 0.3159}, {'keyword': 'therapy experience', 'score': 0.3145}, {'keyword': 'matthewperry', 'score': 0.1725}, {'keyword': 'australia ridiculous', 'score': 0.1205}, {'keyword': 'method schenelle79it', 'score': 0.1061}]","{'help_seeking': {'count': 6, 'frequency': 0.10909090909090909}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 4, 'frequency': 0.07272727272727272}, 'treatment': {'count': 5, 'frequency': 0.09090909090909091}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 2, 'frequency': 0.03636363636363636}, 'dismissal': {'count': 2, 'frequency': 0.03636363636363636}, 'normalization': {'count': 2, 'frequency': 0.03636363636363636}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 5, 'frequency': 0.09090909090909091}, 'negative': {'count': 1, 'frequency': 0.01818181818181818}, 'anxiety': {'count': 2, 'frequency': 0.03636363636363636}, 'depression': {'count': 2, 'frequency': 0.03636363636363636}}",11
51,"[{'keyword': 'point great', 'score': 0.4681}, {'keyword': 'points insightful', 'score': 0.437}, {'keyword': 'great points', 'score': 0.4197}, {'keyword': 'points good', 'score': 0.3841}, {'keyword': 'great insight', 'score': 0.3253}, {'keyword': 'insightful beautiful', 'score': 0.3175}, {'keyword': 'observation yeah', 'score': 0.2536}, {'keyword': 'thank good', 'score': 0.1961}, {'keyword': 'thats great', 'score': 0.1521}, {'keyword': 'ooh', 'score': 0.0715}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",12
168,"[{'keyword': 'agree completely', 'score': 0.4151}, {'keyword': 'agree 100', 'score': 0.4025}, {'keyword': 'amazing completely', 'score': 0.3345}, {'keyword': 'beautifully said', 'score': 0.2664}, {'keyword': 'wholeheartedly', 'score': 0.2635}, {'keyword': 'thank', 'score': 0.1768}, {'keyword': 'comments true', 'score': 0.1755}, {'keyword': '100 yes', 'score': 0.1195}, {'keyword': 'absolutely', 'score': 0.1166}, {'keyword': 'haha', 'score': 0.0662}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",13
93,"[{'keyword': 'feel feel', 'score': 0.3513}, {'keyword': 'waiting feel', 'score': 0.291}, {'keyword': 'happening', 'score': 0.1486}, {'keyword': 'way waiting', 'score': 0.1332}, {'keyword': 'haha love', 'score': 0.1231}, {'keyword': 'ur', 'score': 0.0582}, {'keyword': 'problem issue', 'score': 0.037}, {'keyword': 'yep', 'score': 0.0285}, {'keyword': 'exact way', 'score': 0.0266}, {'keyword': 'exactly definitely', 'score': -0.0273}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",14
456,"[{'keyword': 'joking href', 'score': 0.6208}, {'keyword': 'timestamp href', 'score': 0.5513}, {'keyword': '39 href', 'score': 0.5}, {'keyword': 'movies href', 'score': 0.4884}, {'keyword': 'comments just', 'score': 0.3162}, {'keyword': 'quote bar', 'score': 0.3069}, {'keyword': 'editor note', 'score': 0.2776}, {'keyword': 'love videos', 'score': 0.2363}, {'keyword': 'huntercormier8139 read', 'score': 0.2178}, {'keyword': 'time introspection', 'score': 0.1735}]","{'help_seeking': {'count': 4, 'frequency': 0.008771929824561403}, 'self_care': {'count': 3, 'frequency': 0.006578947368421052}, 'support_networks': {'count': 4, 'frequency': 0.008771929824561403}, 'treatment': {'count': 2, 'frequency': 0.0043859649122807015}}","{'shame': {'count': 2, 'frequency': 0.0043859649122807015}, 'fear': {'count': 3, 'frequency': 0.006578947368421052}, 'dismissal': {'count': 2, 'frequency': 0.0043859649122807015}, 'normalization': {'count': 3, 'frequency': 0.006578947368421052}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 2, 'frequency': 0.0043859649122807015}, 'negative': {'count': 2, 'frequency': 0.0043859649122807015}, 'anxiety': {'count': 4, 'frequency': 0.008771929824561403}, 'depression': {'count': 4, 'frequency': 0.008771929824561403}}",15
80,"[{'keyword': 'tips wonderful', 'score': 0.4615}, {'keyword': 'advice thankyou', 'score': 0.3404}, {'keyword': 'tips gratitude', 'score': 0.3376}, {'keyword': 'thx blessings', 'score': 0.3109}, {'keyword': 'really helpful', 'score': 0.3014}, {'keyword': 'sharing great', 'score': 0.288}, {'keyword': 'advice compassion', 'score': 0.2769}, {'keyword': 'thank taking', 'score': 0.2452}, {'keyword': 'follow incredible', 'score': 0.151}, {'keyword': 'conveyed', 'score': 0.0596}]","{'help_seeking': {'count': 1, 'frequency': 0.0125}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.0125}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",16
73,"[{'keyword': 'sincerely monicacall7532', 'score': 0.4901}, {'keyword': 'thank sweetdreams1028edited', 'score': 0.4859}, {'keyword': 'aimeenotamy3 thank', 'score': 0.4762}, {'keyword': 'fantomanimus6401 thank', 'score': 0.3836}, {'keyword': 'thanks cbreptiles1', 'score': 0.3597}, {'keyword': 'welcome brybrybillions', 'score': 0.2958}, {'keyword': 'll definitely', 'score': 0.2786}, {'keyword': 'thank kind', 'score': 0.2769}, {'keyword': 'doing just', 'score': 0.2356}, {'keyword': 'words mariecarie1', 'score': 0.2314}]","{'help_seeking': {'count': 1, 'frequency': 0.0136986301369863}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 1, 'frequency': 0.0136986301369863}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 1, 'frequency': 0.0136986301369863}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 1, 'frequency': 0.0136986301369863}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",17
123,"[{'keyword': 'crying movie', 'score': 0.5502}, {'keyword': 'beautiful movie', 'score': 0.4859}, {'keyword': 'movie father', 'score': 0.4572}, {'keyword': 'heartbreaking wonderful', 'score': 0.42}, {'keyword': 'movie favorites', 'score': 0.3834}, {'keyword': 'enjoyed scene', 'score': 0.329}, {'keyword': 'love palpable', 'score': 0.2596}, {'keyword': '39 amazing', 'score': 0.2205}, {'keyword': 'dad absolutely', 'score': 0.2156}, {'keyword': 'haha everytime', 'score': 0.1421}]","{'help_seeking': {'count': 1, 'frequency': 0.008130081300813009}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 2, 'frequency': 0.016260162601626018}, 'treatment': {'count': 1, 'frequency': 0.008130081300813009}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 4, 'frequency': 0.032520325203252036}, 'dismissal': {'count': 2, 'frequency': 0.016260162601626018}, 'normalization': {'count': 2, 'frequency': 0.016260162601626018}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 4, 'frequency': 0.032520325203252036}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 2, 'frequency': 0.016260162601626018}, 'depression': {'count': 1, 'frequency': 0.008130081300813009}}",18
101,"[{'keyword': 'mowingformentalhealth cheers', 'score': 0.7088}, {'keyword': 'doing great', 'score': 0.3552}, {'keyword': '39 enjoyable', 'score': 0.3056}, {'keyword': 'cheer sure', 'score': 0.2925}, {'keyword': 'll handle', 'score': 0.2876}, {'keyword': 'lol thanks', 'score': 0.256}, {'keyword': 'kind heart', 'score': 0.234}, {'keyword': 'seeing yard', 'score': 0.2146}, {'keyword': 'work mixed', 'score': 0.212}, {'keyword': 'follow facebook', 'score': 0.1282}]","{'help_seeking': {'count': 1, 'frequency': 0.009900990099009901}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 3, 'frequency': 0.0297029702970297}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 1, 'frequency': 0.009900990099009901}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 1, 'frequency': 0.009900990099009901}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 1, 'frequency': 0.009900990099009901}}",19
50,"[{'keyword': 'distinction ocd', 'score': 0.671}, {'keyword': 'learned ocpd', 'score': 0.4379}, {'keyword': 'questioning things', 'score': 0.2187}, {'keyword': '39 interesting', 'score': 0.1695}, {'keyword': 'things organized', 'score': 0.1377}, {'keyword': 'everyday constant', 'score': 0.1178}, {'keyword': 'causes panic', 'score': 0.107}, {'keyword': 'definitely helpful', 'score': 0.0986}, {'keyword': 'media needs', 'score': 0.0746}, {'keyword': 'mentalhealth href', 'score': 0.0648}]","{'help_seeking': {'count': 5, 'frequency': 0.1}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.02}, 'treatment': {'count': 4, 'frequency': 0.08}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 2, 'frequency': 0.04}, 'dismissal': {'count': 3, 'frequency': 0.06}, 'normalization': {'count': 1, 'frequency': 0.02}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 4, 'frequency': 0.08}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 2, 'frequency': 0.04}, 'depression': {'count': 0, 'frequency': 0.0}}",20
99,"[{'keyword': 'breathing meditation', 'score': 0.6514}, {'keyword': 'thoughts anxiety', 'score': 0.5153}, {'keyword': 'relax daily', 'score': 0.5052}, {'keyword': 'stress overthinking', 'score': 0.4973}, {'keyword': 'overthinking negative', 'score': 0.3669}, {'keyword': 'avoid moving', 'score': 0.3055}, {'keyword': 'practice reacting', 'score': 0.2892}, {'keyword': 'avoid constipation', 'score': 0.2785}, {'keyword': 'alternate nostril', 'score': 0.2283}, {'keyword': 'alirosenbusch151 reduce', 'score': 0.0985}]","{'help_seeking': {'count': 3, 'frequency': 0.030303030303030304}, 'self_care': {'count': 4, 'frequency': 0.04040404040404041}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 2, 'frequency': 0.020202020202020204}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 1, 'frequency': 0.010101010101010102}, 'dismissal': {'count': 3, 'frequency': 0.030303030303030304}, 'normalization': {'count': 1, 'frequency': 0.010101010101010102}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.030303030303030304}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 1, 'frequency': 0.010101010101010102}, 'depression': {'count': 0, 'frequency': 0.0}}",21
